college_name,current_date,student_name,marks,emil_id,place,mob_number
democolleage1,demodate1,demosudent1,123123,demoemail@gmail.com,demoplace,918301848679
democolleage2,demodate2,demosudent2,1231231,demoemail@gmail.com,demoplace,918301848679
democolleage3,demodate3,demosudent3,12312,demoemail@gmail.com,demoplace,918301848679
democolleage4,demodate4,demosudent4,1231231,demoemail@gmail.com,demoplace,918301848679
democolleage1,demodate1,demosudent1,123123,demoemail@gmail.com,demoplace,918301848679
democolleage1,demodate1,demosudent1,123123,demoemail@gmail.com,demoplace,918301848679
democolleage1,demodate1,demosudent1,123123,demoemail@gmail.com,demoplace,918301848679
democolleage1,demodate1,demosudent1,123123,demoemail@gmail.com,demoplace,918301848679
democolleage1,demodate1,demosudent1,123123,demoemail@gmail.com,demoplace,918301848679
democolleage1,demodate1,demosudent1,123123,demoemail@gmail.com,demoplace,918301848679
democolleage1,demodate1,demosudent1,123123,demoemail@gmail.com,demoplace,918301848679
